,lat,lng,count
0,41.660136051,-87.60284764,1
1,41.663670652,-87.54093551,1
2,41.673819904,-87.63573978,3
3,41.689729914000004,-87.66905440000002,7
4,41.690633346999995,-87.57005827,13
5,41.694878966,-87.7131925,1
6,41.706125752,-87.59825584,3
7,41.706587882,-87.62336651,23
8,41.707311449,-87.5349029,3
9,41.71071559,-87.61528532,1
10,41.713148612,-87.67507531,7
11,41.717493036,-87.64889507,11
12,41.729676423,-87.57271713,5
13,41.740205756,-87.61596952,32
14,41.741242728,-87.5514282,17
15,41.744199535,-87.58634832,7
16,41.744205146,-87.65630599,24
17,41.745757713,-87.7083657,13
18,41.761577908,-87.57278199,45
19,41.763246799,-87.61613411,25
20,41.769778059000004,-87.72692984,6
21,41.771848515,-87.69566634,19
22,41.775928827,-87.66659627,13
23,41.776163693,-87.57994825,2
24,41.777196255,-87.64249753,17
25,41.77887686,-87.59492544,45
26,41.779582888,-87.76851085,29
27,41.783633378000005,-87.64508964,1
28,41.785998518,-87.75093429,981
29,41.790447899,-87.59043113,1
30,41.7904694,-87.60128512,23
31,41.790506261,-87.58314372,51
32,41.790566628,-87.59401544,4
33,41.792357223,-87.61793138,22
34,41.79259236,-87.76961545,313
35,41.792981903000005,-87.72420819,16
36,41.794090253,-87.59231086,383
37,41.795430631,-87.69643523,12
38,41.797153425,-87.5823657,2
39,41.797965209000004,-87.58960703,8
40,41.797971191,-87.59894451,1
41,41.801226836,-87.58530316,1
42,41.804147373,-87.73082849,1
43,41.805911699,-87.58747926,7
44,41.808916283,-87.59618334,142
45,41.80901825,-87.65916659999998,41
46,41.80908443,-87.63242452,14
47,41.810879008,-87.72636333,13
48,41.812948939,-87.61785968,67
49,41.817366208,-87.6988608,34
50,41.820197888,-87.61010011,1
51,41.82371281,-87.60235044,22
52,41.827437232,-87.63255877,5
53,41.829922304,-87.67250265,70
54,41.832937181,-87.65358342,1
55,41.833517885999996,-87.68135583,42
56,41.834480698,-87.63295964,8
57,41.834673598,-87.61083474,2
58,41.835117986,-87.61867777,190
59,41.836150155,-87.64878795,140
60,41.839086906,-87.71400381,51
61,41.84201118,-87.62203646,7
62,41.842076117,-87.63397342,150
63,41.842303942,-87.65551629,1
64,41.844144961,-87.68299621,2
65,41.849246754,-87.6241353,633
66,41.850266366,-87.66756931,243
67,41.851017824,-87.63509186,39
68,41.856144105,-87.64897832,2
69,41.856333217,-87.65956424,10
70,41.857183858,-87.62033462,435
71,41.859349715,-87.61735801,1960
72,41.860190019,-87.71722009999998,58
73,41.860762262,-87.70069190000002,2
74,41.861280846999996,-87.63058006,52
75,41.863118103000005,-87.67292044,4
76,41.863422684,-87.65375662,1
77,41.867902418,-87.64295867,472
78,41.869274453,-87.66404724,6
79,41.86958386,-87.65920467,7
80,41.870415,-87.67508562,132
81,41.870607371999995,-87.62217294,1054
82,41.87101588,-87.63140653,405
83,41.871689474,-87.65409265,19
84,41.874005383000004,-87.66351755,1500
85,41.874176625,-87.66186112,4
86,41.877383471,-87.68065412,2
87,41.877406123,-87.62197165,2091
88,41.878594358,-87.73023243,9
89,41.87866742,-87.67165362,220
90,41.878865584,-87.62519214,1604
91,41.878914496,-87.70589713,54
92,41.879066994,-87.65700503,744
93,41.879255084,-87.642649,2874
94,41.880994471,-87.63274649,10186
95,41.884767784,-87.68414745,6
96,41.884987192,-87.62099291,5932
97,41.88528132,-87.65723320000002,1650
98,41.885300021999996,-87.64280847,2075
99,41.886005786,-87.67187394,2
100,41.890608853,-87.75604671,81
101,41.890922026,-87.61886836,3129
102,41.891948381999995,-87.68912591,1
103,41.891971508000005,-87.61294541,1045
104,41.892042136,-87.63186395,3469
105,41.892072635,-87.62887416,1407
106,41.892196429,-87.68428940000003,3
107,41.892276708000004,-87.67939748,11
108,41.892355048,-87.67450679,18
109,41.892433155999996,-87.66962393,12
110,41.892493167,-87.66474584,42
111,41.892507781,-87.62621491,3843
112,41.892536872,-87.65986432,40
113,41.892658108,-87.65253448,254
114,41.89321636,-87.63784421,2778
115,41.89503345,-87.61971067,2058
116,41.897983898,-87.64149153,83
117,41.89830587,-87.65361398,428
118,41.898331794,-87.62076287,1792
119,41.899155613000005,-87.62621053,2238
120,41.899422254,-87.68449012,16
121,41.899445769,-87.68931919,17
122,41.899506548000005,-87.67960029,56
123,41.899589796,-87.67471913,70
124,41.899602111,-87.63330804,3588
125,41.89967018,-87.6698378,93
126,41.899737388,-87.66495392,92
127,41.900069603,-87.72091824,136
128,41.900221297,-87.62910519,622
129,41.900265687,-87.63210922,719
130,41.900560384,-87.69419737,8
131,41.901206994,-87.67635599,2390
132,41.90156691,-87.63840401,54
133,41.902788048000005,-87.62614559,727
134,41.904712,-87.70188456,3
135,41.904935302,-87.64990723,598
136,41.905857769,-87.63086503,552
137,41.906025969,-87.67531162,265
138,41.906638541999996,-87.68957983,6
139,41.906650766,-87.66533766,49
140,41.906683959,-87.71035394,2
141,41.906707792,-87.68468595,5
142,41.906771332,-87.68102523,6
143,41.907412816,-87.64090153,122
144,41.90749193,-87.63576009,646
145,41.907520075,-87.62665890000002,660
146,41.908378669,-87.67094508,110
147,41.909495669,-87.63096359999999,271
148,41.911972301,-87.68364292,47
149,41.91213208,-87.68971128,1
150,41.912364354,-87.67506276,44
151,41.912431869,-87.67018915,15
152,41.912868922,-87.64107075,24
153,41.914585709,-87.64596621,83
154,41.914616286,-87.63171737,831
155,41.914747305,-87.65400703,263
156,41.915613238,-87.70447958,1
157,41.915741193,-87.69225633,5
158,41.915909788,-87.68382594,9
159,41.916005274,-87.67509512,47
160,41.916473316,-87.64118366,23
161,41.91922505,-87.67144577,53
162,41.920451512,-87.67995477,48
163,41.920801704,-87.69453234,4
164,41.921019607,-87.71035914,4
165,41.921125914,-87.69975441,21
166,41.921273105,-87.68508211,14
167,41.921647132,-87.68995147,7
168,41.921701492,-87.65591185,81
169,41.921778188000005,-87.65106188,135
