,lat,lng,count
0,41.660136051,-87.60284764,38
1,41.663670652,-87.54093551,74
2,41.670421943,-87.61900726,3
3,41.673819904,-87.63573978,296
4,41.687238583,-87.71931289,1
5,41.689729914000004,-87.66905440000001,592
6,41.690633346999995,-87.57005827,505
7,41.694878966,-87.7131925,328
8,41.695652247,-87.67140649999999,1
9,41.702776687,-87.67720702,5
10,41.703107093,-87.66513857,1
11,41.706125752,-87.59825584,182
12,41.706587882,-87.62336651,1224
13,41.707311449,-87.5349029,114
14,41.71071559,-87.61528532,6
15,41.713103395,-87.66608353,3
16,41.713148612,-87.67507531,1048
17,41.714674946,-87.59493309,3
18,41.715760906999996,-87.57488817,3
19,41.717493036,-87.64889507,472
20,41.717963676,-87.62835725,1
21,41.727604095,-87.67471379,1
22,41.728182061,-87.59647559999999,64
23,41.728456029,-87.57563713,1
24,41.729676423,-87.57271713,524
25,41.734168738,-87.6532196,1
26,41.738228086999996,-87.7118214,3
27,41.73835532,-87.73130883,3
28,41.740028368000004,-87.55636511,3
29,41.740205756,-87.61596952,2023
30,41.741242728,-87.5514282,979
31,41.742487571999995,-87.6300449,1
32,41.743720912,-87.61954292,3
33,41.744199535,-87.58634832,498
34,41.744205146,-87.65630599,977
35,41.745537571,-87.71203634,2
36,41.745622882,-87.73171185,1
37,41.745757713,-87.7083657,1575
38,41.746215584,-87.69034053,16
39,41.747534263,-87.67076974,2
40,41.753530709,-87.56018900000001,1
41,41.753636532,-87.69540088,1
42,41.755062717,-87.60029731,3
43,41.755568177,-87.58360729,4
44,41.755961430999996,-87.55199415,1
45,41.760818531999995,-87.70270084,6
46,41.761577908,-87.57278199,3676
47,41.76196108,-87.6200147,4
48,41.762142315,-87.61034584,6
49,41.762246653000005,-87.73205903,1
50,41.763246799,-87.61613411,1853
51,41.764243459,-87.58127102,2
52,41.768766837,-87.6493598,5
53,41.769648264000004,-87.58932337,1
54,41.769778059000004,-87.72692984,842
55,41.769784724000004,-87.57395196,1
56,41.771848515,-87.69566634,850
57,41.773790006999995,-87.67622826,1
58,41.775680705,-87.79097858,2
59,41.775928827,-87.66659627,878
60,41.776036096,-87.77142809,4
61,41.776039769,-87.64955259,3
62,41.776408793,-87.75194027,3
63,41.776430777,-87.63763539,1
64,41.77669154,-87.6106933,2
65,41.777196255,-87.64249753,1215
66,41.777287225,-87.69334125,2
67,41.77887686,-87.59492544,3536
68,41.779582888,-87.76851085,1337
69,41.781178729000004,-87.79124765,1
70,41.781531801999996,-87.77163321,1
71,41.783034178,-87.58263029999999,1
72,41.783170859,-87.60355889,5
73,41.783224518000004,-87.59869737,5
74,41.783459916999995,-87.5935369,3
75,41.783633378000005,-87.64508964,3
76,41.785998518,-87.75093429,58604
77,41.787278878,-87.63434178,4
78,41.790447899,-87.59043113,25
79,41.7904694,-87.60128512,1208
80,41.790506261,-87.58314372,2746
81,41.790566628,-87.59401544,184
82,41.790668424,-87.64510049,4
83,41.792136084,-87.61093935,3
84,41.792357223,-87.61793138,1355
85,41.79259236,-87.76961545,19873
86,41.792981903000005,-87.72420819,561
87,41.794090253,-87.59231086,28381
88,41.794972168,-87.73052512,6
89,41.795430631,-87.69643523,742
90,41.796205914,-87.77216579,2
91,41.796640334,-87.74528285,15
92,41.797153425,-87.5823657,76
93,41.79742771,-87.68901664,1
94,41.79774341,-87.65982286,2
95,41.797827019,-87.60374577,2
96,41.797965209000004,-87.58960703,129
97,41.797971191,-87.59894451,8
98,41.798041716,-87.59419663,12
99,41.798797104,-87.70863787,2
100,41.801226836,-87.58530316,18
101,41.8015328,-87.60175982,6
102,41.801654369,-87.64050798,1
103,41.803850785,-87.62121999,1
104,41.803945897,-87.61391685,1
105,41.805059266,-87.65758172,3
106,41.805911699,-87.58747926,274
107,41.805924969,-87.60405863,1
108,41.805978405,-87.59919899,2
109,41.806021704,-87.59434799,9
110,41.806765270999996,-87.60894928,1
111,41.808916283,-87.59618334,8811
112,41.80901825,-87.65916659999999,2405
113,41.80908443,-87.63242452,724
114,41.810218872,-87.68664582,3
115,41.810879008,-87.72636333,956
116,41.812948939,-87.61785968,4910
117,41.813041382,-87.59947659999999,4
118,41.813200941,-87.60420922,3
119,41.813201295,-87.59356129,1
120,41.813806336,-87.62376805,5
121,41.814003822,-87.61168488,3
122,41.814440937,-87.73073345,1
123,41.815268494,-87.74119045,3
124,41.816178015,-87.67510206,2
125,41.81622348,-87.65169295,5
126,41.816307996,-87.63258852,1
127,41.817366208,-87.6988608,1943
128,41.817397869000004,-87.69203173,4
129,41.81749249,-87.68684526,9
130,41.820166606,-87.62149921,3
131,41.820456907,-87.60069157,19
132,41.820574395,-87.61498648,3
133,41.82371281,-87.60235044,1784
134,41.826663458,-87.67990671,1
135,41.826833015,-87.67292554,2
136,41.826894161999995,-87.6098786,14
137,41.827087911999996,-87.64862682,16
138,41.827274669,-87.62774647,3
139,41.827437232,-87.63255877,206
140,41.827441686,-87.61924976,5
141,41.827613139,-87.60424162,23
142,41.827788762,-87.61418703,1
143,41.828119978000004,-87.69075418,8
144,41.829922304,-87.67250265,5941
145,41.830117203,-87.72380413,2
146,41.831157182,-87.63833337,3
147,41.832937181,-87.65358342,20
148,41.833517885999996,-87.68135583,3336
149,41.834097391,-87.61928952,1
150,41.834480698,-87.63295964,420
151,41.834673598,-87.61083474,51
152,41.834962325,-87.62515413,43
153,41.835067916999996,-87.64316237,8
154,41.835117986,-87.61867777,14284
155,41.836150155,-87.64878795,9035
156,41.836510321999995,-87.6531587,4
157,41.838295797,-87.69675634,6
158,41.839086906,-87.71400381,3512
159,41.840930805999996,-87.66061783,7
160,41.841691119000004,-87.61256395,22
